Annee;Mariages;Enfants
1946;16;2
1947;9;3
1948;19;2
1949;9;1
1950;7;3
1951;13;1
1952;16;3
1953;11;2
1954;11;1
1955;6;2
1956;13;2
1957;12;1
1958;18;2
1959;5;1
1960;7;2
1961;20;2
1962;18;3
1963;17;2
1964;19;1
1965;7;1
1966;5;2
1967;5;3
1968;19;1
1969;19;3
1970;14;2
1971;8;2
1972;20;3
1973;17;3
1974;19;3
1975;9;3
1976;9;3
1977;8;1
1978;5;1
1979;12;3
1980;18;1
1981;14;1
1982;16;1
1983;14;1
1984;15;2
1985;16;3
1986;19;3
1987;13;1
1988;16;1
1989;9;1
1990;13;2
1991;10;3
1992;9;1
1993;12;1
1994;11;2
1995;13;3
1996;19;3
1997;12;3
1998;9;2
1999;13;2
2000;12;3
2001;8;1
2002;11;1
2003;18;3
2004;16;1
2005;20;1
2006;18;2
2007;11;1
2008;11;3
2009;20;3
2010;11;1
2011;16;2
